"No.","Time","Source","Destination","Protocol","Length","Info"
"19","2023-05-06 19:37:37.687273","52.212.101.251","192.168.18.48","TCP","54","443  >  50596 [ACK] Seq=163 Ack=52 Win=110 Len=0"
"20","2023-05-06 19:37:37.687273","52.212.101.251","192.168.18.48","TCP","54","443  >  50596 [ACK] Seq=163 Ack=379 Win=114 Len=0"
"21","2023-05-06 19:37:37.687273","52.212.101.251","192.168.18.48","TCP","54","443  >  50596 [ACK] Seq=163 Ack=832 Win=118 Len=0"
"22","2023-05-06 19:37:37.687273","52.212.101.251","192.168.18.48","TLSv1.2","317","Application Data"
"23","2023-05-06 19:37:37.692586","2a00:1450:4018:809::200e","2407:d000:b:7008:5d49:e746:bd25:c0b5","UDP","88","443  >  58033 Len=26"
"24","2023-05-06 19:37:37.692665","2.17.179.243","192.168.18.48","TCP","54","443  >  50595 [ACK] Seq=1911 Ack=32 Win=501 Len=0"
"25","2023-05-06 19:37:37.704899","2.17.179.243","192.168.18.48","TLSv1.2","85","Encrypted Alert"
"26","2023-05-06 19:37:37.704974","192.168.18.48","2.17.179.243","TCP","54","50595  >  443 [RST, ACK] Seq=33 Ack=1942 Win=0 Len=0"
"27","2023-05-06 19:37:37.707158","2.17.179.243","192.168.18.48","TCP","54","443  >  50595 [FIN, ACK] Seq=1942 Ack=33 Win=501 Len=0"
"28","2023-05-06 19:37:37.738280","192.168.18.48","52.212.101.251","TCP","54","50596  >  443 [ACK] Seq=832 Ack=426 Win=257 Len=0"
"29","2023-05-06 19:37:37.743332","2.17.179.243","192.168.18.48","TCP","66","443  >  50599 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"30","2023-05-06 19:37:37.743422","192.168.18.48","2.17.179.243","TCP","54","50599  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"31","2023-05-06 19:37:37.743874","192.168.18.48","2.17.179.243","TLSv1.2","251","Client Hello"
"32","2023-05-06 19:37:37.893638","2.17.179.243","192.168.18.48","TCP","54","443  >  50599 [ACK] Seq=1 Ack=198 Win=64128 Len=0"
"33","2023-05-06 19:37:37.897709","2.17.179.243","192.168.18.48","TLSv1.2","1466","Server Hello"
"34","2023-05-06 19:37:37.898514","2.17.179.243","192.168.18.48","TCP","1466","443  >  50599 [PSH, ACK] Seq=1413 Ack=198 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"35","2023-05-06 19:37:37.898556","192.168.18.48","2.17.179.243","TCP","54","50599  >  443 [ACK] Seq=198 Ack=2825 Win=66304 Len=0"
"36","2023-05-06 19:37:37.899358","2.17.179.243","192.168.18.48","TLSv1.2","1126","Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"37","2023-05-06 19:37:37.899658","2407:d000:b:7008:5d49:e746:bd25:c0b5","2a00:1450:4018:809::200e","UDP","91","58033  >  443 Len=29"
"38","2023-05-06 19:37:37.900395","192.168.18.48","2.17.179.243","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"39","2023-05-06 19:37:37.936220","192.168.18.48","2.17.179.243","TCP","66","50722  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"40","2023-05-06 19:37:37.946376","2a00:1450:4018:809::200e","2407:d000:b:7008:5d49:e746:bd25:c0b5","UDP","88","443  >  58033 Len=26"
"41","2023-05-06 19:37:37.990964","192.168.18.48","2.17.179.243","TCP","66","50745  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"42","2023-05-06 19:37:37.994669","192.168.18.48","2.17.179.243","TCP","66","50746  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"43","2023-05-06 19:37:37.995948","192.168.18.48","2.17.179.243","TCP","66","50747  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"44","2023-05-06 19:37:37.997127","192.168.18.48","2.17.179.243","TCP","66","50748  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"45","2023-05-06 19:37:37.998281","192.168.18.48","2.17.179.243","TCP","66","50749  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"46","2023-05-06 19:37:37.999424","192.168.18.48","2.17.179.243","TCP","66","50750  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"47","2023-05-06 19:37:38.000452","192.168.18.48","2.17.179.243","TCP","66","50751  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"48","2023-05-06 19:37:38.001597","192.168.18.48","2.17.179.243","TCP","66","50752  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"49","2023-05-06 19:37:38.002749","192.168.18.48","2.17.179.243","TCP","66","50753  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"50","2023-05-06 19:37:38.003974","192.168.18.48","2.17.179.243","TCP","66","50754  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"51","2023-05-06 19:37:38.005040","192.168.18.48","2.17.179.243","TCP","66","50755  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"52","2023-05-06 19:37:38.006546","192.168.18.48","2.17.179.243","TCP","66","50756  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"53","2023-05-06 19:37:38.007987","192.168.18.48","2.17.179.243","TCP","66","50757  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"54","2023-05-06 19:37:38.009348","192.168.18.48","2.17.179.243","TCP","66","50758  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"55","2023-05-06 19:37:38.011087","192.168.18.48","2.17.179.243","TCP","66","50759  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"56","2023-05-06 19:37:38.012167","192.168.18.48","2.17.179.243","TCP","66","50760  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"57","2023-05-06 19:37:38.013250","192.168.18.48","2.17.179.243","TCP","66","50761  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"58","2023-05-06 19:37:38.014338","192.168.18.48","2.17.179.243","TCP","66","50762  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"59","2023-05-06 19:37:38.015902","192.168.18.48","2.17.179.243","TCP","66","50763  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"60","2023-05-06 19:37:38.016899","192.168.18.48","2.17.179.243","TCP","66","50764  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"61","2023-05-06 19:37:38.018832","192.168.18.48","2.17.179.243","TCP","66","50765  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"62","2023-05-06 19:37:38.020560","192.168.18.48","2.17.179.243","TCP","66","50766  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"63","2023-05-06 19:37:38.021879","192.168.18.48","2.17.179.243","TCP","66","50767  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"64","2023-05-06 19:37:38.023553","192.168.18.48","2.17.179.243","TCP","66","50768  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"65","2023-05-06 19:37:38.024609","192.168.18.48","2.17.179.243","TCP","66","50769  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"66","2023-05-06 19:37:38.026234","192.168.18.48","2.17.179.243","TCP","66","50770  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"67","2023-05-06 19:37:38.027214","192.168.18.48","2.17.179.243","TCP","66","50771  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"68","2023-05-06 19:37:38.028415","192.168.18.48","2.17.179.243","TCP","66","50772  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"69","2023-05-06 19:37:38.029549","192.168.18.48","2.17.179.243","TCP","66","50773  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"70","2023-05-06 19:37:38.030683","192.168.18.48","2.17.179.243","TCP","66","50774  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"71","2023-05-06 19:37:38.031845","192.168.18.48","2.17.179.243","TCP","66","50775  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"72","2023-05-06 19:37:38.032965","192.168.18.48","2.17.179.243","TCP","66","50776  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"73","2023-05-06 19:37:38.034133","192.168.18.48","2.17.179.243","TCP","66","50777  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"74","2023-05-06 19:37:38.035550","192.168.18.48","2.17.179.243","TCP","66","50778  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"75","2023-05-06 19:37:38.037066","192.168.18.48","2.17.179.243","TCP","66","50779  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"76","2023-05-06 19:37:38.038262","192.168.18.48","2.17.179.243","TCP","66","50780  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"77","2023-05-06 19:37:38.039280","192.168.18.48","2.17.179.243","TCP","66","50781  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"78","2023-05-06 19:37:38.040863","192.168.18.48","2.17.179.243","TCP","66","50782  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"79","2023-05-06 19:37:38.041972","192.168.18.48","2.17.179.243","TCP","66","50783  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"80","2023-05-06 19:37:38.043199","192.168.18.48","2.17.179.243","TCP","66","50784  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"81","2023-05-06 19:37:38.044414","192.168.18.48","2.17.179.243","TCP","66","50785  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"82","2023-05-06 19:37:38.045796","192.168.18.48","2.17.179.243","TCP","66","50786  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"83","2023-05-06 19:37:38.046626","192.168.18.48","2.17.179.243","TCP","66","50787  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"84","2023-05-06 19:37:38.047860","192.168.18.48","2.17.179.243","TCP","66","50788  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"85","2023-05-06 19:37:38.048905","192.168.18.48","2.17.179.243","TCP","66","50789  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"86","2023-05-06 19:37:38.050015","192.168.18.48","2.17.179.243","TCP","66","50790  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"87","2023-05-06 19:37:38.051084","2.17.179.243","192.168.18.48","TCP","54","443  >  50599 [ACK] Seq=3897 Ack=324 Win=64128 Len=0"
"88","2023-05-06 19:37:38.051255","192.168.18.48","2.17.179.243","TCP","66","50791  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"89","2023-05-06 19:37:38.052516","192.168.18.48","2.17.179.243","TCP","66","50792  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"90","2023-05-06 19:37:38.053509","192.168.18.48","2.17.179.243","TCP","66","50793  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"91","2023-05-06 19:37:38.055054","192.168.18.48","2.17.179.243","TCP","66","50794  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"92","2023-05-06 19:37:38.056391","192.168.18.48","2.17.179.243","TCP","66","50795  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"93","2023-05-06 19:37:38.057942","192.168.18.48","2.17.179.243","TCP","66","50796  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"94","2023-05-06 19:37:38.058937","192.168.18.48","2.17.179.243","TCP","66","50797  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"95","2023-05-06 19:37:38.059111","2.17.179.243","192.168.18.48","TLSv1.2","312","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"96","2023-05-06 19:37:38.059512","192.168.18.48","2.17.179.243","TLSv1.2","220","Application Data"
"97","2023-05-06 19:37:38.060100","192.168.18.48","2.17.179.243","TCP","66","50798  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"98","2023-05-06 19:37:38.061319","192.168.18.48","2.17.179.243","TCP","66","50799  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"99","2023-05-06 19:37:38.063580","192.168.18.48","2.17.179.243","TCP","66","50800  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"100","2023-05-06 19:37:38.086832","2.17.179.243","192.168.18.48","TCP","66","443  >  50722 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"101","2023-05-06 19:37:38.087007","192.168.18.48","2.17.179.243","TCP","54","50722  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"102","2023-05-06 19:37:38.091565","192.168.18.48","2.17.179.243","TLSv1.2","251","Client Hello"
"103","2023-05-06 19:37:38.099553","192.168.18.48","2.17.179.243","TCP","66","50801  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"104","2023-05-06 19:37:38.102242","192.168.18.48","2.17.179.243","TCP","66","50802  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"105","2023-05-06 19:37:38.103718","192.168.18.48","2.17.179.243","TCP","66","50803  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"106","2023-05-06 19:37:38.105053","192.168.18.48","2.17.179.243","TCP","66","50804  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"107","2023-05-06 19:37:38.106556","192.168.18.48","2.17.179.243","TCP","66","50805  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"108","2023-05-06 19:37:38.107928","192.168.18.48","2.17.179.243","TCP","66","50806  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"109","2023-05-06 19:37:38.113528","192.168.18.48","2.17.179.243","TCP","66","50807  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"110","2023-05-06 19:37:38.114630","192.168.18.48","2.17.179.243","TCP","66","50808  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"111","2023-05-06 19:37:38.116948","192.168.18.48","2.17.179.243","TCP","66","50809  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"112","2023-05-06 19:37:38.119814","192.168.18.48","2.17.179.243","TCP","66","50810  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"113","2023-05-06 19:37:38.120842","192.168.18.48","2.17.179.243","TCP","66","50811  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"114","2023-05-06 19:37:38.121922","192.168.18.48","2.17.179.243","TCP","66","50812  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"115","2023-05-06 19:37:38.122988","192.168.18.48","2.17.179.243","TCP","66","50813  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"116","2023-05-06 19:37:38.124179","192.168.18.48","2.17.179.243","TCP","66","50814  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"117","2023-05-06 19:37:38.125114","192.168.18.48","2.17.179.243","TCP","66","50815  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"118","2023-05-06 19:37:38.131819","2.17.179.243","192.168.18.48","TCP","66","443  >  50745 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"119","2023-05-06 19:37:38.131921","192.168.18.48","2.17.179.243","TCP","54","50745  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"120","2023-05-06 19:37:38.132616","192.168.18.48","2.17.179.243","TLSv1.2","251","Client Hello"
"121","2023-05-06 19:37:38.138228","2.17.179.243","192.168.18.48","TCP","66","443  >  50748 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"122","2023-05-06 19:37:38.138348","192.168.18.48","2.17.179.243","TCP","54","50748  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"123","2023-05-06 19:37:38.139079","192.168.18.48","2.17.179.243","TLSv1.2","251","Client Hello"
"124","2023-05-06 19:37:38.145910","2.17.179.243","192.168.18.48","TCP","66","443  >  50755 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"125","2023-05-06 19:37:38.145910","2.17.179.243","192.168.18.48","TCP","66","443  >  50753 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"126","2023-05-06 19:37:38.146103","192.168.18.48","2.17.179.243","TCP","54","50755  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"127","2023-05-06 19:37:38.146169","192.168.18.48","2.17.179.243","TCP","54","50753  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"128","2023-05-06 19:37:38.146371","2.17.179.243","192.168.18.48","TCP","66","443  >  50750 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"129","2023-05-06 19:37:38.146371","2.17.179.243","192.168.18.48","TCP","66","443  >  50749 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"130","2023-05-06 19:37:38.146371","2.17.179.243","192.168.18.48","TCP","66","443  >  50754 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"131","2023-05-06 19:37:38.146504","192.168.18.48","2.17.179.243","TCP","54","50750  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"132","2023-05-06 19:37:38.146559","192.168.18.48","2.17.179.243","TCP","54","50749  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"133","2023-05-06 19:37:38.146580","192.168.18.48","2.17.179.243","TCP","54","50754  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"134","2023-05-06 19:37:38.146775","192.168.18.48","2.17.179.243","TLSv1.2","251","Client Hello"
"135","2023-05-06 19:37:38.146794","192.168.18.48","2.17.179.243","TLSv1.2","251","Client Hello"
"136","2023-05-06 19:37:38.146893","192.168.18.48","2.17.179.243","TLSv1.2","251","Client Hello"
"137","2023-05-06 19:37:38.146976","192.168.18.48","2.17.179.243","TLSv1.2","251","Client Hello"
"138","2023-05-06 19:37:38.147043","192.168.18.48","2.17.179.243","TLSv1.2","251","Client Hello"
"139","2023-05-06 19:37:38.149710","2.17.179.243","192.168.18.48","TCP","66","443  >  50751 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"140","2023-05-06 19:37:38.149818","192.168.18.48","2.17.179.243","TCP","54","50751  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"141","2023-05-06 19:37:38.150297","2.17.179.243","192.168.18.48","TCP","66","443  >  50747 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"142","2023-05-06 19:37:38.150405","192.168.18.48","2.17.179.243","TCP","54","50747  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"143","2023-05-06 19:37:38.150426","192.168.18.48","2.17.179.243","TLSv1.2","251","Client Hello"
"144","2023-05-06 19:37:38.150916","192.168.18.48","2.17.179.243","TLSv1.2","251","Client Hello"
"145","2023-05-06 19:37:38.151903","2.17.179.243","192.168.18.48","TCP","66","443  >  50746 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"146","2023-05-06 19:37:38.151903","2.17.179.243","192.168.18.48","TCP","66","443  >  50756 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"147","2023-05-06 19:37:38.152043","192.168.18.48","2.17.179.243","TCP","54","50746  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"148","2023-05-06 19:37:38.152112","192.168.18.48","2.17.179.243","TCP","54","50756  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"149","2023-05-06 19:37:38.152279","2407:d000:b:7008:5d49:e746:bd25:c0b5","2a00:1450:4018:809::200e","UDP","91","58033  >  443 Len=29"
"150","2023-05-06 19:37:38.153295","192.168.18.48","2.17.179.243","TLSv1.2","251","Client Hello"
"151","2023-05-06 19:37:38.153295","192.168.18.48","2.17.179.243","TLSv1.2","251","Client Hello"
"152","2023-05-06 19:37:38.155653","2.17.179.243","192.168.18.48","TCP","66","443  >  50759 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"153","2023-05-06 19:37:38.155745","192.168.18.48","2.17.179.243","TCP","54","50759  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"154","2023-05-06 19:37:38.156297","192.168.18.48","2.17.179.243","TLSv1.2","251","Client Hello"
"155","2023-05-06 19:37:38.160000","2.17.179.243","192.168.18.48","TCP","66","443  >  50752 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"156","2023-05-06 19:37:38.160000","2.17.179.243","192.168.18.48","TCP","66","443  >  50762 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"157","2023-05-06 19:37:38.160000","2.17.179.243","192.168.18.48","TCP","66","443  >  50765 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"158","2023-05-06 19:37:38.160000","2.17.179.243","192.168.18.48","TCP","66","443  >  50766 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"159","2023-05-06 19:37:38.160000","2.17.179.243","192.168.18.48","TCP","66","443  >  50758 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"160","2023-05-06 19:37:38.160000","2.17.179.243","192.168.18.48","TCP","66","443  >  50760 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"161","2023-05-06 19:37:38.160000","2.17.179.243","192.168.18.48","TCP","66","443  >  50757 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"162","2023-05-06 19:37:38.160000","2.17.179.243","192.168.18.48","TCP","66","443  >  50761 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"163","2023-05-06 19:37:38.160284","192.168.18.48","2.17.179.243","TCP","54","50752  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"164","2023-05-06 19:37:38.160364","192.168.18.48","2.17.179.243","TCP","54","50762  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"165","2023-05-06 19:37:38.160382","192.168.18.48","2.17.179.243","TCP","54","50765  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"166","2023-05-06 19:37:38.160398","192.168.18.48","2.17.179.243","TCP","54","50766  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"167","2023-05-06 19:37:38.160411","192.168.18.48","2.17.179.243","TCP","54","50758  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"168","2023-05-06 19:37:38.160423","192.168.18.48","2.17.179.243","TCP","54","50760  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
